index,forest_length,likelihood,prior,posterior,leaves
168,3.28951,-5057.79,-41.7856,-5099.58,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
169,3.65313,-5276.65,-41.8221,-5318.47,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
170,3.14368,-5104.3,-41.7756,-5146.07,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
171,2.71343,-4927.4,-41.8133,-4969.21,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
172,3.21708,-5238.52,-41.7872,-5280.31,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
173,3.2883,-5144.97,-41.795,-5186.77,"{t1|t10|t2|t3|t4|t5|t7|t8|t9}|{t6}"
174,3.24864,-5123.64,-41.7821,-5165.42,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
175,3.5914,-5453.28,-41.8075,-5495.08,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
176,3.41722,-5037.84,-41.7996,-5079.64,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
177,3.20672,-5050.1,-41.8082,-5091.91,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
178,3.23768,-5007.11,-41.8104,-5048.92,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
179,3.3404,-5317.38,-41.7957,-5359.18,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
180,3.49508,-5460.34,-41.798,-5502.13,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
181,3.17566,-5113.87,-41.7896,-5155.66,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
182,3.21635,-5120.58,-41.7784,-5162.36,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
183,3.35574,-5319.04,-41.7932,-5360.84,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
184,3.15575,-5233.58,-41.782,-5275.36,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
185,3.33697,-5278.26,-41.7888,-5320.05,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
186,3.0972,-5049.2,-41.7879,-5090.99,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
187,3.50139,-5122.5,-41.8036,-5164.3,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
